,nodes,edges,density,subgraphs,biggest_component,assortativity,diameter,max_degree,min_degree,std_degree,mean_degree,max_clustering,min_clustering,mean_clustering,std_clustering,max_closeness,min_closeness,mean_closeness,std_closeness,max_eccentricity,min_eccentricity,mean_eccentricity,std_eccentricity,max_betweenness,min_betweenness,mean_betweenness,std_betweenness,max_eigenvector,min_eigenvector,mean_eigenvector,std_eigenvector
2013-01-01,593.0,1621.0,0.0092349938471355,62.0,529.0,-0.121458133536809,9.0,335.0,0.0,8.18212478920742,22.124144995351152,0.12018746419228404,0.0,0.01051855504676651,0.01840866242105316,0.34779831530200805,0.0,0.21988467237097933,0.08514050050746634,9.0,5.0,6.497164461247637,0.6905324466735938,0.23456763242772496,0.0,0.004270142662279199,0.016584365837165046,0.5587953987562494,-7.479487288381009e-18,0.01296261517833604,0.03896551357993136
2013-02-01,537.0,1289.0,0.008956613580143973,87.0,444.0,-0.12241872308766817,8.0,250.0,0.0,6.912476722532588,17.875364402581095,0.20218000823357415,0.0,0.01208613566343486,0.022335943950069905,0.3513783052109892,0.0,0.19268767362195086,0.09471410193151032,8.0,4.0,5.900900900900901,0.6253641095063323,0.23722749138384705,0.0,0.0050563699149544315,0.017992063557297638,0.550230721629602,-3.30179711971714e-18,0.014500007985342893,0.04064415285559095
2013-03-01,599.0,1615.0,0.009017258418434291,75.0,519.0,-0.11319679665029013,8.0,310.0,0.0,7.959933222036728,20.82942242902475,0.09172020135818408,0.0,0.007171081121853811,0.012807581794518902,0.3549860293806359,0.0,0.2116508132040593,0.09079158697818057,8.0,4.0,5.616570327552987,0.6781726199664412,0.22441797870808883,0.0,0.004297549125983513,0.015496928004756709,0.5783589164484576,-3.712128523105613e-18,0.012128758575497748,0.039017205143632404
2013-04-01,578.0,1454.0,0.00871948330764664,69.0,508.0,-0.10424675816175417,8.0,341.0,0.0,7.671280276816609,21.39760129704883,0.0868911068893016,0.0,0.009449976586386516,0.015729852389102843,0.33647447208448744,0.0,0.20706021623498327,0.08493721556348374,8.0,4.0,5.834645669291339,0.6759511179218713,0.26285118400488444,0.0,0.004567961642725291,0.017741355611603046,0.5966553253128675,-1.1539200635999347e-17,0.012241725041134058,0.0397522826293742
2013-05-01,573.0,1244.0,0.007591012826614921,99.0,468.0,-0.13722797349302363,8.0,247.0,0.0,6.052356020942408,16.215737369241737,0.1399256826631998,0.0,0.010500902531670336,0.021136167668484803,0.3371127104548855,0.0,0.18241923978605426,0.09231986330702899,8.0,4.0,5.94017094017094,0.6984794020248286,0.3065241352185815,0.0,0.004838724120322487,0.02038365959285777,0.5731632932560978,-1.8331176352825322e-18,0.013781137130401714,0.03943705056762412
2013-06-01,306.0,235.0,0.005035894139076395,141.0,150.0,-0.09635680444371843,10.0,62.0,0.0,1.8823529411764706,4.622255308490698,0.33333333333333337,0.0,0.00915556595337206,0.0332012509954424,0.16580902946338547,0.0,0.05214610835781409,0.05497445272321753,10.0,5.0,7.24,1.0111379727811631,0.5250581915408833,0.0,0.020080415986456258,0.05496124605033646,0.6425250396937212,-1.442591769774602e-17,0.018138851278141,0.05421213822123818
2013-07-01,423.0,616.0,0.006901728793429913,136.0,274.0,-0.11358033491585312,7.0,125.0,0.0,4.037825059101655,10.32262025295193,0.165725745387068,0.0,0.01168931009071277,0.026274892090260578,0.2466606211443247,0.0,0.11094375769664207,0.0846345263699633,7.0,4.0,5.375912408759124,0.6286383788044417,0.2766369191429754,0.0,0.00867574710962431,0.026911809434931083,0.5186926410967712,-4.3607906313788126e-18,0.01644800741173075,0.04575510076523795
2013-08-01,440.0,670.0,0.00693725408987368,106.0,323.0,-0.07703701726309892,9.0,141.0,0.0,4.163636363636364,10.070007016994282,0.2289428485106664,0.0,0.011308316269394112,0.02775073234606929,0.26657136833661566,0.0,0.13537221428745005,0.08537399506381006,9.0,5.0,6.631578947368421,0.7969716185631561,0.26772987063561365,0.0,0.00798809654103948,0.024523155347765387,0.576448324947452,-7.876665746304621e-18,0.015724336843417275,0.04500524973335914
2013-09-01,333.0,319.0,0.005770831072035892,123.0,200.0,-0.10161194750451549,9.0,40.0,0.0,2.2282282282282284,4.306101075269182,0.22206204405395358,0.0,0.008544766926350523,0.033488719119425324,0.21453259079483403,0.0,0.08582450227042253,0.07232278787558998,9.0,5.0,6.81,0.8966047066572871,0.32807400465036124,0.0,0.014903304400791835,0.03845335713047606,0.5039041123303648,-2.4661331247074895e-17,0.020190142682545795,0.05094468707786362
