,nodes,edges,density,subgraphs,biggest_component,assortativity,diameter,max_degree,min_degree,std_degree,mean_degree,max_clustering,min_clustering,mean_clustering,std_clustering,max_closeness,min_closeness,mean_closeness,std_closeness,max_eccentricity,min_eccentricity,mean_eccentricity,std_eccentricity,max_betweenness,min_betweenness,mean_betweenness,std_betweenness,max_eigenvector,min_eigenvector,mean_eigenvector,std_eigenvector
2013-01-01,3024.0,5453.0,0.001193014052756031,245.0,2709.0,-0.05866959031362804,13.0,301.0,0.0,4.232142857142857,11.355589662020392,0.0973104002405059,0.0,0.004282307196655922,0.012424836864371187,0.29371877397794216,0.0,0.16924068416125032,0.06466509432154366,13.0,7.0,9.132890365448505,0.9073262104319375,0.2401870888269047,0.0,0.001284269635696565,0.007920995384411714,0.49069987949370014,-5.081792586545932e-18,0.004381823586412772,0.017649007132000016
2013-02-01,2726.0,4380.0,0.0011792659204264743,287.0,2365.0,-0.04450887131249455,17.0,274.0,0.0,3.7674247982391784,9.890273784144831,0.17999746807123126,0.0,0.004997587821018338,0.01551069607780602,0.26458833959276046,0.0,0.14855881740183582,0.06431034006012792,17.0,9.0,11.148837209302325,1.0887876187689687,0.24494201003885344,0.0,0.0016010259862664516,0.008990311692395357,0.530842131055051,-3.054128113695721e-18,0.004265224531196135,0.018672057127306407
2013-03-01,2951.0,5269.0,0.00121050606229431,243.0,2636.0,-0.05138291622808261,12.0,319.0,0.0,4.211453744493392,11.455423201538313,0.1100305495025989,0.0,0.0036987291957165267,0.010723840242714762,0.2957200142254478,0.0,0.16821451050996225,0.06478809872422706,12.0,6.0,8.6350531107739,0.8953007252769998,0.2523711088389518,0.0,0.001320587048438097,0.00824148711490283,0.5098883721808757,-9.986049877946218e-18,0.004113607574567633,0.01794286523942962
2013-04-01,3028.0,5642.0,0.0012311041227804887,253.0,2725.0,-0.05252762529451158,13.0,299.0,0.0,4.417437252311757,12.215079892807672,0.1543908873963238,0.0,0.004870249486482889,0.014327128516386808,0.2915820185241356,0.0,0.17374178500893914,0.06501474566529393,13.0,7.0,9.024587155963303,0.9249552750011548,0.18209757506199944,0.0,0.0012643219944560497,0.007358593938194145,0.44361672214519854,-4.775720804910086e-18,0.0042241454869594705,0.017675055464070607
2013-05-01,2855.0,5062.0,0.0012424875769651345,225.0,2566.0,-0.060860316625097784,14.0,342.0,0.0,4.2381786339754814,12.171627864783451,0.15464753497782882,0.0,0.004854066160070246,0.013755813079262366,0.2937765440289403,0.0,0.17326113750979918,0.0651634021110585,14.0,7.0,9.62314886983632,0.9344420680904701,0.20550644082840827,0.0,0.0013244094964146803,0.008025019602296839,0.532409962395298,-2.8277320264593567e-18,0.0042407548825297405,0.018228513242968206
2013-06-01,1263.0,963.0,0.0012083523118678265,484.0,596.0,-0.024992779871668886,28.0,67.0,0.0,1.6991290577988916,3.6211821888636657,0.17610988346974338,0.0,0.0036159687777274534,0.015514258842160303,0.12647743073170242,0.0,0.03781223152719445,0.04125765203020255,28.0,14.0,21.27181208053691,1.4915682723211163,0.35201652218657026,0.0,0.007732552718735114,0.026563690516071964,0.7044430348795492,-4.654206746385993e-17,0.0015416753357496815,0.028096065107599665
2013-07-01,1750.0,2025.0,0.0013232050967900025,365.0,1253.0,-0.0363649176571779,15.0,155.0,0.0,2.6925714285714286,6.866090733392888,0.28499599111278284,0.0,0.00585894092093389,0.02299152872536854,0.2073643457000219,0.0,0.09708159387235502,0.06459854668971815,15.0,8.0,10.39904229848364,1.1166872005522581,0.3007953496137426,0.0,0.0031698009662256854,0.014299265446129812,0.4774696798603155,-2.4192225321996524e-18,0.0052927726132638376,0.023311266149500666
2013-08-01,1789.0,2055.0,0.001284884135338628,389.0,1288.0,-0.05687650773584626,13.0,144.0,0.0,2.602571268865288,6.899843574192858,0.23112042478354491,0.0,0.007583978351092123,0.02650612283528886,0.22506823918445615,0.0,0.10311709503124339,0.0680348240945458,13.0,7.0,9.475155279503106,1.088906857169216,0.267717909850532,0.0,0.002953022139579717,0.014391715508455081,0.45606911622971175,-9.773923743096409e-18,0.006323239427413406,0.022781311103566654
2013-09-01,1172.0,889.0,0.0012955293308423417,422.0,564.0,0.03391638766546042,17.0,57.0,0.0,1.6467576791808873,3.162784565996425,0.5261234723957607,0.0,0.006752576422689398,0.03872028347761056,0.13923987798406623,0.0,0.04173424426680994,0.04431395034581913,17.0,9.0,12.060283687943262,1.304622411210695,0.39480628721281263,0.0,0.00796341965343656,0.028430145745724226,0.5833293829900137,-9.498044242246334e-18,0.006552119094307144,0.02846598068209013
