,nodes,edges,density,subgraphs,biggest_component,assortativity,diameter,max_degree,min_degree,std_degree,mean_degree,max_clustering,min_clustering,mean_clustering,std_clustering,max_closeness,min_closeness,mean_closeness,std_closeness,max_eccentricity,min_eccentricity,mean_eccentricity,std_eccentricity,max_betweenness,min_betweenness,mean_betweenness,std_betweenness,max_eigenvector,min_eigenvector,mean_eigenvector,std_eigenvector
2013-01-01,3169.0,5827.0,0.0011608272692210844,245.0,2895.0,0.06586975207752149,12.0,61.0,0.0,3.9760176711896498,4.40323819218958,0.18181818181818185,0.0,0.002902827536867822,0.013362955441317428,0.2532278000309609,0.0,0.15318788140297193,0.051624831648776355,12.0,7.0,9.300518134715025,0.8362572310042427,0.09897980984624499,0.0,0.0015004685575442224,0.0038094704334779832,0.522362832614953,-5.51936219739388e-18,0.0026199938374388276,0.017569649692657712
2013-02-01,2811.0,4741.0,0.0012004187919599032,287.0,2497.0,0.07057704337428417,18.0,65.0,0.0,3.631447883315546,4.030132855306089,0.3924109311789243,0.0,0.00695923919875086,0.031205367667121776,0.22690487611134844,0.0,0.14001303260693304,0.05375168158189504,18.0,9.0,13.20704845814978,1.1033781359206003,0.09318130440363806,0.0,0.0018118665732726452,0.004200603277239595,0.42346456256110465,-9.651186930441985e-18,0.0031631085309625833,0.018594085909135392
2013-03-01,3050.0,5690.0,0.0012237282850061026,243.0,2770.0,0.0342380588305992,14.0,72.0,0.0,4.053770491803279,4.616051170247399,0.41997368329829105,0.0,0.00441383096521906,0.02040602993395795,0.2427329487103183,0.0,0.15375196382730105,0.052977967386038424,14.0,8.0,10.149458483754513,0.87774822416642,0.06760363972111447,0.0,0.0015313394918832685,0.0037620849312765977,0.6174319624143894,-3.353607989510828e-18,0.002715093645452824,0.017902433324982335
2013-04-01,3243.0,6250.0,0.0011889129398050524,253.0,2960.0,0.051689396861739824,16.0,70.0,0.0,4.154178230033919,4.785981137032205,0.2905307753213651,0.0,0.0030901759797682116,0.0159268295647676,0.24343821687743358,0.0,0.1565426493012758,0.05287251957496085,16.0,9.0,10.832094594594595,0.8787181645291534,0.07678453468338721,0.0,0.0014294943008833385,0.003489426702374446,0.5112621495559032,-7.174315113358465e-18,0.003536690258597243,0.017200240756529594
2013-05-01,3124.0,5723.0,0.00117319642830054,225.0,2870.0,0.03998332286480246,16.0,71.0,0.0,3.908450704225352,4.503371084066842,0.3877739452278438,0.0,0.004218748593932518,0.02182552996681455,0.2545791887702556,0.0,0.15720973045869543,0.05151328692620176,16.0,8.0,10.673519163763066,0.9150479236599701,0.08283118848231222,0.0,0.0014955370664340194,0.004214231194405654,0.5210839153319571,-7.460235012331917e-18,0.00493755774386434,0.0171965972303969
2013-06-01,1544.0,1270.0,0.0010661553598232366,484.0,938.0,0.06670212690308404,34.0,26.0,0.0,1.6930051813471503,1.798186416524769,0.33333333333333337,0.0,0.0029807613899507355,0.02594495993221868,0.10014102361426962,0.0,0.04077604073161487,0.034084046803639134,34.0,17.0,25.181236673773988,2.4384075349413745,0.2382387529440327,0.0,0.008823379223911246,0.017117305441919257,0.6622426843759155,-9.06384717577624e-18,0.0039802227664788355,0.025136153653882425
2013-07-01,2062.0,2504.0,0.0011784133868513727,365.0,1613.0,0.04567927878090777,19.0,42.0,0.0,2.556741028128031,2.6900020822621484,0.41601676461038084,0.0,0.006154826235619052,0.03269261439434571,0.17003601875762933,0.0,0.09243377341007127,0.051066248912272044,19.0,10.0,13.932424054556726,1.386685921085348,0.12371138073276057,0.0,0.0034658012196678314,0.007483268212225769,0.6486583921229112,-1.9159926341594366e-17,0.0035539910200970332,0.02173327403327449
2013-08-01,2060.0,2436.0,0.001148639409271161,389.0,1613.0,0.03295310514159286,17.0,38.0,0.0,2.470873786407767,2.648250239985771,0.16666666666666669,0.0,0.0019567011375541143,0.014379711281490433,0.1785571261811644,0.0,0.09279355644373721,0.05122824990966017,17.0,9.0,12.389336639801613,1.2413361474640883,0.10344674279857073,0.0,0.0034466207823739335,0.007477234559002971,0.6074048757015147,-1.2542209316538841e-17,0.0037547035108700015,0.021710345339246543
2013-09-01,1223.0,961.0,0.0012860436826616956,422.0,692.0,0.09648602867134723,24.0,21.0,0.0,1.615699100572363,1.7424943769009669,0.33333333333333337,0.0,0.0024759177170421702,0.023154909501221843,0.11448500318652613,0.0,0.0412683608477375,0.03702146907157606,24.0,12.0,16.94942196531792,1.8188280578510425,0.24518905526613288,0.0,0.010030566892005507,0.019139302094458504,0.6596587319109808,-3.054741801539676e-17,0.004987513734546467,0.028156459203735443
