,nodes,edges,density,subgraphs,biggest_component,assortativity,diameter,max_degree,min_degree,std_degree,mean_degree,max_clustering,min_clustering,mean_clustering,std_clustering,max_closeness,min_closeness,mean_closeness,std_closeness,max_eccentricity,min_eccentricity,mean_eccentricity,std_eccentricity,max_betweenness,min_betweenness,mean_betweenness,std_betweenness,max_eigenvector,min_eigenvector,mean_eigenvector,std_eigenvector
2012-04-03,152.0,83.0,0.007232485186476124,71.0,23.0,0.08463894967177236,14.0,4.0,0.0,1.105263157894737,0.933005152696623,0.0,0.0,0.0,0.0,0.036842505899368196,0.0,0.01145493318268948,0.010640663869185371,14.0,7.0,11.173913043478262,1.9924242151981912,0.6536796536796536,0.0,0.2207792207792208,0.19178918813038914,0.5733364750743275,-4.835471325080026e-16,0.023333642043801717,0.07768197034957841
2012-04-04,303.0,183.0,0.003999737722116582,123.0,89.0,0.1300341335376094,29.0,4.0,0.0,1.2145214521452146,1.0000925792303204,0.0,0.0,0.0,0.0,0.04076690636877625,0.0,0.010937006771217473,0.011831518071988232,29.0,15.0,21.662921348314608,3.792197252919456,0.5877742946708464,0.0,0.11523311378018856,0.14367505457827573,0.411174640029135,-3.587007276347224e-16,0.016572935862053703,0.05500607084600349
2012-04-05,40.0,11.0,0.014102564102564103,29.0,7.0,-0.17857142857142813,6.0,2.0,0.0,0.55,0.7729812416870153,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.017820747628439937,0.025034306204344527,6.0,3.0,4.714285714285714,1.0301575072754257,0.6,0.0,0.33333333333333337,0.2309401076758503,0.5,-2.736337302989546e-16,0.06284174365157309,0.14508933542762534
2012-04-06,79.0,45.0,0.014605647517039922,34.0,25.0,0.10511363636363877,20.0,4.0,0.0,1.139240506329114,0.9377346418963105,0.0,0.0,0.0,0.0,0.0636604774535809,0.0,0.02348778371311017,0.020216437325974307,20.0,10.0,14.64,3.10972667609229,0.6666666666666666,0.0,0.263768115942029,0.18757341207946993,0.5978040709137064,-2.1373580034977798e-16,0.041397242044995466,0.10461594619927368
2012-04-07,358.0,277.0,0.004334694771763454,97.0,211.0,0.010701679976263012,30.0,8.0,0.0,1.553072625698324,1.1681188861394527,0.5,0.0,0.002094972067039106,0.028123381054432295,0.08159142124485197,0.0,0.034742618238110236,0.028282264291414255,30.0,15.0,21.876777251184834,3.1852713534222996,0.3375423407002356,0.0,0.04617878172380542,0.05806579208411312,0.6221775220804423,-1.3131300829325783e-16,0.015224305720913616,0.0506114276097961
2012-04-08,382.0,286.0,0.003930137005125668,112.0,216.0,0.11855314484670669,40.0,9.0,0.0,1.5026178010471205,1.203721739730088,0.20998684164914552,0.0,0.001756052842889387,0.015862049581242106,0.07625735972192665,0.0,0.02858414276036022,0.024985592063526445,40.0,20.0,28.430555555555557,3.862784409601671,0.52407385558005,0.0,0.05316678338847433,0.07526545326430126,0.6096403721398955,-4.21959642750065e-17,0.011754052102605949,0.04979601697213989
2012-04-09,327.0,240.0,0.004502729779929082,100.0,156.0,0.07707113837232694,46.0,10.0,0.0,1.4862385321100917,1.1355905836539295,0.5,0.0,0.0035677879714576966,0.04001587446766671,0.06240162490974167,0.0,0.02104591875148263,0.020136294201253468,46.0,23.0,32.18589743589744,5.092483761513185,0.5920974724200532,0.0,0.07755577755577756,0.09706178847624834,0.5844897079268262,-9.769338981481013e-17,0.01579901391388843,0.052995236907517715
2012-04-10,301.0,208.0,0.00460686600221484,102.0,103.0,0.03862566342116941,38.0,7.0,0.0,1.4219269102990033,1.221914083673843,0.4807498567691361,0.0,0.007585236713539654,0.04824635848856408,0.035,0.0,0.013083914901044482,0.010868104589227589,38.0,19.0,29.66990291262136,4.98617184815284,0.627256843331392,0.0,0.14085680412701462,0.1762509697150471,0.6302458533120652,-4.788324204316268e-16,0.008677185896331372,0.05698215142597841
2012-04-11,313.0,190.0,0.0038912099614975015,130.0,109.0,0.08647253143824775,37.0,5.0,0.0,1.233226837060703,1.1162099853040879,0.5,0.0,0.0034611288604898833,0.04009552842815058,0.04690666924042081,0.0,0.012999296939454815,0.014476120114788186,37.0,19.0,29.009174311926607,4.078350567930184,0.6815218645436715,0.0,0.10099682122317812,0.13311040768423435,0.532215733240773,-1.115029585165722e-16,0.014158681717049822,0.05472129303067515
2012-04-12,258.0,155.0,0.004675293336952915,106.0,47.0,0.0016222148003230236,18.0,5.0,0.0,1.2248062015503876,1.0210217566528346,0.5,0.0,0.004198966408268733,0.04412787813345796,0.03883708978782762,0.0,0.009900013530506176,0.009864449829478341,18.0,9.0,13.51063829787234,2.3956728759882973,0.6521739130434783,0.0,0.13645801212868744,0.15150473907660053,0.44054481172686827,-2.18010206860353e-15,0.017999316178936037,0.059598604088843835
