,nodes,edges,density,subgraphs,biggest_component,assortativity,diameter,max_degree,min_degree,std_degree,mean_degree,max_clustering,min_clustering,mean_clustering,std_clustering,max_closeness,min_closeness,mean_closeness,std_closeness,max_eccentricity,min_eccentricity,mean_eccentricity,std_eccentricity,max_betweenness,min_betweenness,mean_betweenness,std_betweenness,max_eigenvector,min_eigenvector,mean_eigenvector,std_eigenvector
2012-04-01,2944.0,8409.0,0.0019410927181669104,29.0,2914.0,0.03928589566070414,10.0,152.0,0.0,6.249320652173913,7.069986860836417,0.14479682514368478,0.0,0.0029858037456525007,0.010452875948676114,0.32727648245148167,0.0,0.2175913755980492,0.03394117639031443,10.0,6.0,7.671585449553878,0.6793117139244974,0.11898407657792781,0.0,0.0011801223252148752,0.003111165261415343,0.5968552462915019,-6.425307255225989e-18,0.002726701999475173,0.018227424646656377
2012-05-01,3052.0,8991.0,0.0019311288695067212,32.0,3013.0,0.04828966879483909,10.0,140.0,0.0,6.423984272608126,7.274782841003788,0.3494321858945196,0.0,0.0036387008835029183,0.014071793272694217,0.3192847122381344,0.0,0.21946344427218759,0.035664086048146436,10.0,6.0,7.71622967142383,0.6778405142194952,0.08913145431233795,0.0,0.0011208394390003255,0.0028021392011901157,0.6387238500186285,-1.3814401446605122e-17,0.0019539534237258994,0.017995445629288478
2012-06-01,2578.0,5331.0,0.0016048754979674888,52.0,2514.0,0.03328008768970769,14.0,107.0,0.0,4.386346004654771,4.50717897230064,0.1808718990554429,0.0,0.0029918915642958887,0.013228514076622786,0.285916397747193,0.0,0.1807480919654876,0.03709161164315424,14.0,8.0,10.087509944311854,0.8383099954486585,0.16915415934424624,0.0,0.001672985082005315,0.004520816502105472,0.6311405919573756,-3.909259074190038e-18,0.0022482943467354174,0.019566368277361752
2012-07-01,2590.0,5805.0,0.0017314119283991822,57.0,2522.0,0.020781097077734272,12.0,129.0,0.0,4.755984555984556,5.258851051146045,0.22620146804957555,0.0,0.002638048516885285,0.012826242981453656,0.2990723705857064,0.0,0.1920270131479471,0.040063547192111214,12.0,7.0,8.598731165741475,0.7370117611912095,0.14960247252054257,0.0,0.0015408743611428685,0.0041817565924909565,0.5231558008116324,-1.6044168856865867e-17,0.004555154520251893,0.019114155837938927
2012-08-01,1671.0,2669.0,0.0019128708471745917,100.0,1547.0,0.06426717754663572,16.0,40.0,0.0,3.3464991023339317,3.089758087415331,0.22677157885259994,0.0,0.003985227107008195,0.018980507707333304,0.2326787816011612,0.0,0.14547955833889858,0.04637084356893185,16.0,9.0,11.644473173884938,1.1060333585961806,0.11667460349195126,0.0,0.0031593168779607437,0.006191774530552221,0.6331519622770516,-1.015043306012056e-17,0.003385802334906604,0.024227678139489315
2012-09-01,1037.0,1132.0,0.0021073560128526377,152.0,817.0,0.10477400292172365,26.0,17.0,0.0,2.2372227579556414,1.7322298497056046,0.36056239257685213,0.0,0.005860496190633828,0.033421435184298375,0.1459396336780533,0.0,0.07568166829186611,0.04211977930609199,26.0,14.0,17.722154222766218,2.174158064810565,0.20451134768830276,0.0,0.009131897496967264,0.016004844114653693,0.6560820413173132,-6.228833514342676e-17,0.005008640293991439,0.03064691953029913
2012-10-01,1812.0,2859.0,0.001742478817820457,114.0,1656.0,0.016201439469189678,18.0,84.0,0.0,3.3929359823399556,3.854144695760343,0.1912931182772389,0.0,0.004752608101797429,0.018928618223409247,0.23930979107982864,0.0,0.1406262890441713,0.04842470438613209,18.0,9.0,12.152777777777779,1.1197467855103502,0.19907370340621636,0.0,0.002943414214416006,0.008070734070064136,0.63539026218029,-1.4141261524132925e-17,0.00535559325488369,0.022873434385312443
2012-11-01,2401.0,4545.0,0.0015774677217825907,65.0,2325.0,0.04140271988984398,20.0,104.0,0.0,4.018325697625989,4.472377793475603,0.497382150987049,0.0,0.00474917548154713,0.022127259739429868,0.26989765731190535,0.0,0.17126705669271874,0.039645852274819614,20.0,10.0,13.03225806451613,1.059230933253861,0.1703168589411522,0.0,0.0019068967268045778,0.005558590738338237,0.5498961501145568,-9.919644699030457e-18,0.004408371438041369,0.019926349116876664
2012-12-01,2772.0,5873.0,0.0015291857587057876,66.0,2698.0,0.038035396356382895,14.0,114.0,0.0,4.437229437229437,4.8890311425695705,0.2714417616594907,0.0,0.0033614992305566,0.016381873821425138,0.281046700415824,0.0,0.1866341789796385,0.0394204569429616,14.0,8.0,9.541512231282432,0.8058005587215826,0.13484053436765203,0.0,0.0015000705359403095,0.0042557137594572665,0.6338419444325224,-3.325610670774359e-18,0.005099391132808364,0.018296080750395592
